"id";"geohash";"lat";"lon";"descr"
463;"gc1zppt4";51.8971;-8.4744;"Furniture / Home Store"
464;"gc1zppt4";51.8971;-8.4744;"Pizza Place"
465;"gc1zppkm";51.8962;-8.4754;"Pub"
466;"gc1zjy12";51.8885;-8.5345;"Pizza Place"
467;"gc1zjy19";51.8887;-8.5342;"Pizza Place"
468;"gc4p0wjp";51.8897;-8.4085;"Government Building"
469;"sw8zfk6z";37.9494;23.6575;"Travel Agency"
470;"sw8zfk6z";37.9494;23.6575;"Dessert Shop"
471;"sw8zups4";37.9664;23.7361;"Medical Center"
472;"swbbh5jy";37.9864;23.7385;"Farmers Market"
473;"u0u6k7ed";49.6339;6.1683;"Clothing Store"
474;"u0u6k7m4";49.6325;6.1704;"Salad Place"
475;"u0udggx8";49.7215;6.5034;"none"
476;"u0u6k7s0";49.6336;6.169;"Bank"
477;"u0udgst5";49.7275;6.489;"Liquor Store"
478;"u0vugec3";50.0746;8.2416;"Hotel"
479;"u0vugs65";50.0777;8.2427;"Pizza Place"
480;"u0vugec1";50.0746;8.2413;"Hotel"
481;"u0yusz39";50.0499;9.7032;"Gas Station"
482;"u0yusz3e";50.0502;9.7032;"Doctor's Office"
483;"u0yutt42";50.0373;9.7372;"none"
484;"u0yutsfr";50.0372;9.7372;"none"
485;"u0yuu82p";50.0564;9.6901;"German Restaurant"
486;"u0yusz63";50.0499;9.7042;"Doctor's Office"
487;"u0yusz62";50.0497;9.7042;"Doctor's Office"
488;"u0yugwr7";50.0886;9.6561;"none"
489;"u0udyxtw";49.7445;6.6215;"Office"
490;"u0uep4rw";49.7596;6.6462;"Dentist's Office"
491;"u0uep4kb";49.7585;6.6424;"Electronics Store"
492;"u0uep0gj";49.7512;6.64;"Pub"
493;"u0uenfng";49.7577;6.6342;"Church"
494;"u0udu580";49.7215;6.5041;"none"
495;"u0udg9xc";49.7107;6.4928;"Train Station"
496;"u0u6k7kg";49.6327;6.17;"Asian Restaurant"
497;"u0uep0gn";49.7513;6.64;"Pub"
498;"u0u6k7kw";49.6332;6.1697;"Dessert Shop"
499;"u0u6m7xk";49.6343;6.2174;"Airport Gate"
500;"gcpuuyhr";51.4942;-0.1368;"Restaurant"
501;"gcpuvqwv";51.4966;-0.1114;"Gastropub"
502;"u3tjksdn";54.3862;18.4819;"none"
503;"u3tjksdp";54.3864;18.4819;"none"
504;"u3tjksdx";54.3864;18.4826;"none"
505;"u3tjwpqm";54.4451;18.5537;"University"
506;"u3tjwpqn";54.4452;18.5533;"University"
507;"u3tjwppc";54.443;18.5557;"Parking"
508;"u3tjqx43";54.3991;18.5702;"University"
509;"u3tjreer";54.3809;18.6155;"Government Building"
510;"u3tjm6wq";54.3752;18.5207;"Fast Food Restaurant"
511;"u3tjreep";54.3809;18.6151;"Government Building"
512;"u3tnjf3y";54.5057;18.5365;"Residential Building (Apartment / Condo)"
513;"u3tjreen";54.3807;18.6151;"Government Building"
514;"u3tjm6hf";54.3718;18.5187;"Coffee Shop"
515;"u3tjwqu8";54.4415;18.5623;"Gym / Fitness Center"
516;"u0u6g6nm";49.7141;6.1281;"Asian Restaurant"
517;"u0u6g6nt";49.7141;6.1285;"Asian Restaurant"
518;"u0u6k7kf";49.6325;6.17;"Shoe Store"
519;"u0u74bht";49.747;6.1038;"Cupcake Shop"
520;"u0u6gmk8";49.7311;6.1257;"Supermarket"
521;"u0u74bkk";49.7482;6.1034;"Town Hall"
522;"u0u6g6nm";49.7141;6.1281;"Cosmetics Shop"
523;"u0u67mwb";49.6446;6.1288;"Taco Place"
524;"u0u6k7m4";49.6325;6.1704;"Shoe Store"
525;"u0u65jsf";49.601;6.1151;"Skate Park"
526;"u0u6k6zb";49.6295;6.1741;"Dentist's Office"
527;"u0u75190";49.7544;6.1099;"Restaurant"
528;"u0u67dn2";49.6253;6.1391;"Health & Beauty Service"
529;"u0u67dn2";49.6253;6.1391;"College Library"
530;"u0u67dn8";49.6253;6.1395;"Health & Beauty Service"
531;"u0u67dn8";49.6253;6.1395;"College Library"
532;"u0u679yr";49.6252;6.1391;"Health & Beauty Service"
533;"u0u67dn9";49.6255;6.1395;"College Library"
534;"u0u6k7kx";49.6334;6.1697;"Soup Place"
535;"u0u6k7kx";49.6334;6.1697;"Jewelry Store"
536;"u0u679yx";49.6252;6.1395;"Health & Beauty Service"
537;"u0u6k7s0";49.6336;6.169;"Corporate Cafeteria"
538;"u0u6k7s1";49.6337;6.169;"Corporate Cafeteria"
539;"u0u67dn3";49.6255;6.1391;"College Library"
540;"u0vugenv";50.0711;8.2492;"College Library"
541;"u0vugsk4";50.0775;8.2454;"Art Museum"
542;"u0ggfrtj";49.9201;5.3794;"Train Station"
543;"u151707s";50.8469;4.3556;"Notary"
544;"u151707t";50.847;4.3556;"Notary"
545;"u15159zr";50.8117;4.3827;"General College & University"
546;"u1515dph";50.8125;4.3823;"Fraternity House"
547;"u1515djy";50.8129;4.3806;"College Academic Building"
548;"u151707s";50.8469;4.3556;"Hotel Bar"
549;"u1516byq";50.85;4.3484;"Pizza Place"
550;"u151707m";50.847;4.3552;"Notary"
551;"u15170m2";50.8462;4.358;"Conference Room"
552;"u15159zw";50.8115;4.383;"University"
553;"u0u6k7km";49.6331;6.1693;"Clothing Store"
554;"u0u6k7eb";49.6336;6.1687;"Electronics Store"
555;"u0u6k7eb";49.6336;6.1687;"Corporate Cafeteria"
556;"u0u6k7ky";49.6332;6.17;"Jewelry Store"
